multiplicity,arm,support,ncsaurc,raw_partial_aurc,bootstrap_mean,ci_low,ci_high,coverage_at_0p13,wrong_all_at_0p13,correct_all_at_0p13,aggregate_budget_ratio_vs_m1,posterior_l1_drift_mean_vs_m1,posterior_l1_drift_max_vs_m1,registered_components
4,registered,primary_0.10_0.39,0.3891164502870042,0.11284377058323124,0.3891417929732332,0.3877740790113904,0.39054217962701804,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
4,singleton,primary_0.10_0.39,0.576365378239046,0.16714595968932336,0.5757697897657483,0.5553118594343636,0.5944115381303593,0.12990384615384615,0.08919871794871795,0.040705128205128206,1.941900158481805,0.18437677132185684,0.6105516758655811,6
4,all_merge,primary_0.10_0.39,0.5883185126844976,0.17061236867850435,0.5883502329401858,0.5818228539281396,0.5947256828400315,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
4,registered,fixed_0.10_0.35,0.40408157531738165,0.1010203938293454,0.4041058791483836,0.40280760629582335,0.4054871227776348,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
4,singleton,fixed_0.10_0.35,0.5687994689958205,0.1421998672489551,0.5681476464939207,0.5469209186173645,0.5877125950834504,0.12990384615384615,0.08919871794871795,0.040705128205128206,1.941900158481805,0.18437677132185684,0.6105516758655811,6
4,all_merge,fixed_0.10_0.35,0.5986949318719715,0.14967373296799286,0.5987324000198034,0.5914508628540895,0.6059745300640125,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
8,registered,primary_0.10_0.39,0.3891164502870042,0.11284377058323124,0.3891279672502584,0.38770367062868616,0.39050233719394806,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
8,singleton,primary_0.10_0.39,0.7567278369941142,0.21945107272829315,0.7564775574699556,0.7426159197483807,0.7689397160613246,0.13003205128205128,0.10666666666666667,0.023365384615384614,3.197767036457545,0.28695212838092593,0.8888315320273394,10
8,all_merge,primary_0.10_0.39,0.5883185126844976,0.17061236867850435,0.5883289761239423,0.5817432819340929,0.5950952972893016,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
8,registered,fixed_0.10_0.35,0.40408157531738165,0.1010203938293454,0.4040872632448458,0.40271025557327506,0.4054089863470985,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
8,singleton,fixed_0.10_0.35,0.7541365195943179,0.18853412989857946,0.7538651226832532,0.7394251483096707,0.7668147239045362,0.13003205128205128,0.10666666666666667,0.023365384615384614,3.197767036457545,0.28695212838092593,0.8888315320273394,10
8,all_merge,fixed_0.10_0.35,0.5986949318719715,0.14967373296799286,0.598708220407981,0.5914288935834807,0.6062766603665878,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
16,registered,primary_0.10_0.39,0.3891164502870042,0.11284377058323124,0.38913666905169664,0.38774087676696656,0.3906141475857817,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
16,singleton,primary_0.10_0.39,0.814098998805905,0.23608870965371248,0.8137393536850127,0.799502437981963,0.828652478611428,0.13032051282051282,0.11397435897435898,0.016346153846153847,5.709500792409026,0.3715418230242619,1.0938273762875501,18
16,all_merge,primary_0.10_0.39,0.5883185126844976,0.17061236867850435,0.5883857769514789,0.5819161666129248,0.5952067272849504,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
16,registered,fixed_0.10_0.35,0.40408157531738165,0.1010203938293454,0.4041015061479976,0.40279643626571904,0.4054911352681715,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
16,singleton,fixed_0.10_0.35,0.8134385733102585,0.2033596433275646,0.8130386391968774,0.7978814259930559,0.828603638975477,0.13032051282051282,0.11397435897435898,0.016346153846153847,5.709500792409026,0.3715418230242619,1.0938273762875501,18
16,all_merge,fixed_0.10_0.35,0.5986949318719715,0.14967373296799286,0.5987680475284723,0.5913481309100382,0.6062308078283313,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
32,registered,primary_0.10_0.39,0.3891164502870042,0.11284377058323124,0.3891168409268908,0.38781544680306607,0.39046836178348104,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
32,singleton,primary_0.10_0.39,0.8228731506443946,0.23863321368687446,0.8227057391265519,0.8106507058367143,0.8356228259114215,0.12996794871794873,0.11432692307692308,0.01564102564102564,10.732968304311985,0.4303961557778571,1.2308360154335811,34
32,all_merge,primary_0.10_0.39,0.5883185126844976,0.17061236867850435,0.5882947981451957,0.5816785351359628,0.5948110800562385,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
32,registered,fixed_0.10_0.35,0.40408157531738165,0.1010203938293454,0.40408769695905905,0.4028527259110417,0.40545181267398495,0.1303525641025641,0.07692307692307693,0.05342948717948718,1.0,0.0,0.0,2
32,singleton,fixed_0.10_0.35,0.822269003137219,0.2055672507843047,0.8220665224090781,0.809261035183229,0.8358184423753309,0.12996794871794873,0.11432692307692308,0.01564102564102564,10.732968304311985,0.4303961557778571,1.2308360154335811,34
32,all_merge,fixed_0.10_0.35,0.5986949318719715,0.14967373296799286,0.5986617404330836,0.5910922735570439,0.606075277586876,0.1301923076923077,0.09490384615384616,0.03528846153846154,1.0,0.0,0.0,1
