left_model,left_prompt,right_model,right_prompt,left_family,right_family,relation,n,n11,n10,n01,n00,joint_error_rate,conditional_coerror_left_to_right,conditional_coerror_right_to_left,conditional_coerror_symmetric,error_phi,error_cooccurrence_lift
qwen3vl_8b,schema_first,qwen3vl_32b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,11,1,6,66,0.13095238095238096,0.9166666666666666,0.6470588235294118,0.7818627450980392,0.7257946509373269,4.529411764705883
qwen3vl_8b,schema_first,internvl3_8b,canonical,Qwen3-VL,InternVL3,between_family,84,12,0,15,57,0.14285714285714285,1.0,0.4444444444444444,0.7222222222222222,0.5931710140017395,3.1111111111111107
qwen3vl_8b,schema_first,internvl3_8b,wrapper_paraphrase,Qwen3-VL,InternVL3,between_family,84,12,0,34,38,0.14285714285714285,1.0,0.2608695652173913,0.6304347826086957,0.3710541192606408,1.826086956521739
qwen3vl_8b,schema_first,internvl3_8b,rules_first,Qwen3-VL,InternVL3,between_family,84,12,0,2,70,0.14285714285714285,1.0,0.8571428571428571,0.9285714285714286,0.9128709291752768,6.0
qwen3vl_8b,schema_first,internvl3_8b,schema_first,Qwen3-VL,InternVL3,between_family,84,11,1,9,63,0.13095238095238096,0.9166666666666666,0.55,0.7333333333333334,0.6504205370373848,3.8500000000000005
qwen3vl_8b,schema_first,llava_onevision_7b,canonical,Qwen3-VL,LLaVA-OneVision,between_family,84,12,0,31,41,0.14285714285714285,1.0,0.27906976744186046,0.6395348837209303,0.3986411026000336,1.9534883720930236
qwen3vl_8b,schema_first,llava_onevision_7b,wrapper_paraphrase,Qwen3-VL,LLaVA-OneVision,between_family,84,12,0,30,42,0.14285714285714285,1.0,0.2857142857142857,0.6428571428571428,0.408248290463863,2.0
qwen3vl_8b,schema_first,llava_onevision_7b,rules_first,Qwen3-VL,LLaVA-OneVision,between_family,84,12,0,44,28,0.14285714285714285,1.0,0.21428571428571427,0.6071428571428571,0.28867513459481287,1.5
qwen3vl_8b,schema_first,llava_onevision_7b,schema_first,Qwen3-VL,LLaVA-OneVision,between_family,84,12,0,37,35,0.14285714285714285,1.0,0.24489795918367346,0.6224489795918368,0.3450327796711771,1.7142857142857142
qwen3vl_32b,canonical,qwen3vl_32b,wrapper_paraphrase,Qwen3-VL,Qwen3-VL,within_family,84,8,4,7,65,0.09523809523809523,0.6666666666666666,0.5333333333333333,0.6,0.520281108211702,3.733333333333333
qwen3vl_32b,canonical,qwen3vl_32b,rules_first,Qwen3-VL,Qwen3-VL,within_family,84,7,5,2,70,0.08333333333333333,0.5833333333333334,0.7777777777777778,0.6805555555555556,0.6285393610547089,5.444444444444445
qwen3vl_32b,canonical,qwen3vl_32b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,8,4,9,63,0.09523809523809523,0.6666666666666666,0.47058823529411764,0.5686274509803921,0.4717665231092625,3.294117647058824
qwen3vl_32b,canonical,internvl3_8b,canonical,Qwen3-VL,InternVL3,between_family,84,7,5,20,52,0.08333333333333333,0.5833333333333334,0.25925925925925924,0.4212962962962963,0.2289431983866363,1.8148148148148147
qwen3vl_32b,canonical,internvl3_8b,wrapper_paraphrase,Qwen3-VL,InternVL3,between_family,84,9,3,37,35,0.10714285714285714,0.75,0.1956521739130435,0.47282608695652173,0.16599789545870772,1.3695652173913042
qwen3vl_32b,canonical,internvl3_8b,rules_first,Qwen3-VL,InternVL3,between_family,84,6,6,8,64,0.07142857142857142,0.5,0.42857142857142855,0.4642857142857143,0.3651483716701107,3.0
qwen3vl_32b,canonical,internvl3_8b,schema_first,Qwen3-VL,InternVL3,between_family,84,9,3,11,61,0.10714285714285714,0.75,0.45,0.6,0.4906681244317113,3.1500000000000004
qwen3vl_32b,canonical,llava_onevision_7b,canonical,Qwen3-VL,LLaVA-OneVision,between_family,84,6,6,37,35,0.07142857142857142,0.5,0.13953488372093023,0.31976744186046513,-0.00972295372195204,0.9767441860465118
qwen3vl_32b,canonical,llava_onevision_7b,wrapper_paraphrase,Qwen3-VL,LLaVA-OneVision,between_family,84,8,4,34,38,0.09523809523809523,0.6666666666666666,0.19047619047619047,0.42857142857142855,0.13608276348795434,1.3333333333333333
qwen3vl_32b,canonical,llava_onevision_7b,rules_first,Qwen3-VL,LLaVA-OneVision,between_family,84,6,6,50,22,0.07142857142857142,0.5,0.10714285714285714,0.30357142857142855,-0.14433756729740643,0.75
qwen3vl_32b,canonical,llava_onevision_7b,schema_first,Qwen3-VL,LLaVA-OneVision,between_family,84,6,6,43,29,0.07142857142857142,0.5,0.12244897959183673,0.3112244897959184,-0.06900655593423542,0.8571428571428571
qwen3vl_32b,wrapper_paraphrase,qwen3vl_32b,rules_first,Qwen3-VL,Qwen3-VL,within_family,84,8,7,1,68,0.09523809523809523,0.5333333333333333,0.8888888888888888,0.711111111111111,0.6424690697894109,4.977777777777777
qwen3vl_32b,wrapper_paraphrase,qwen3vl_32b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,14,1,3,66,0.16666666666666666,0.9333333333333333,0.8235294117647058,0.8784313725490196,0.848257275471263,4.6117647058823525
qwen3vl_32b,wrapper_paraphrase,internvl3_8b,canonical,Qwen3-VL,InternVL3,between_family,84,13,2,14,55,0.15476190476190477,0.8666666666666667,0.48148148148148145,0.674074074074074,0.5443362439638211,2.696296296296296
qwen3vl_32b,wrapper_paraphrase,internvl3_8b,wrapper_paraphrase,Qwen3-VL,InternVL3,between_family,84,13,2,33,36,0.15476190476190477,0.8666666666666667,0.2826086956521739,0.5746376811594203,0.2988719547378492,1.5826086956521739
