setting_id,language_pmax,dirichlet_kappa,quality_multiplier,conflict_multiplier,occlusion_strength,pair_id,records,dirichlet_projection_fallbacks,nested_naurc,registered_naurc,naurc_gain,ranking_preserved,nested_coverage,nested_wrong_all,nested_wrong_admitted,nested_correct_all,nested_clean_coverage,registered_coverage,registered_wrong_all,registered_wrong_admitted,registered_correct_all,registered_clean_coverage,copy_mass_max_abs_drift,unoccluded_clean_runtime_sha256,nested_clean_none_coverage,nested_clean_none_correct_all,nested_clean_none_wrong_all,nested_clean_partial_coverage,nested_clean_partial_correct_all,nested_clean_partial_wrong_all
10017,0.95,50.0,1.19148842766881,0.8159899555146695,0.5,17,31200,0,0.12529977760214378,0.21187168070705756,0.08657190310491378,True,0.13134615384615383,0.0004487179487179487,0.003416300634455832,0.1308974358974359,0.9033333333333333,0.13131410256410256,0.010096153846153847,0.07688552599463022,0.12121794871794872,0.7633333333333333,1.4210854715202004e-14,0006824f086b55ba8423dfe9f6f57d1e7d5d327ef19ef65fc10b7e76ec6cbeeb,0.9291666666666667,0.9291666666666667,0.0,0.8775,0.8733333333333333,0.004166666666666667
10017,0.95,50.0,1.19148842766881,0.8159899555146695,1.0,17,31200,0,0.12502495561398763,0.21233130279869708,0.08730634718470945,True,0.13128205128205128,0.0005128205128205128,0.00390625,0.13076923076923078,0.8704166666666666,0.13115384615384615,0.00983974358974359,0.07502443792766374,0.12131410256410256,0.7666666666666667,1.4210854715202004e-14,0006824f086b55ba8423dfe9f6f57d1e7d5d327ef19ef65fc10b7e76ec6cbeeb,0.9591666666666666,0.9591666666666666,0.0,0.7816666666666666,0.78,0.0016666666666666668
10017,0.95,50.0,1.19148842766881,0.8159899555146695,1.5,17,31200,0,0.12116402479732649,0.21258270768318982,0.09141868288586333,True,0.13118589743589743,0.0002884615384615385,0.002198876129978011,0.1308974358974359,0.8320833333333333,0.13112179487179487,0.009967948717948719,0.07602053287704717,0.12115384615384615,0.7691666666666667,1.4210854715202004e-14,0006824f086b55ba8423dfe9f6f57d1e7d5d327ef19ef65fc10b7e76ec6cbeeb,0.9841666666666666,0.9841666666666666,0.0,0.68,0.68,0.0
10018,0.85,200.0,0.9932085938751698,1.1666574534028769,0.5,18,31200,0,0.11520936922718172,0.20061150698829153,0.0854021377611098,True,0.13153846153846155,0.0,0.0,0.13153846153846155,0.8979166666666667,0.13102564102564102,0.010608974358974359,0.08096868884540118,0.12041666666666667,0.7625,1.4210854715202004e-14,33f3280927765fbb7a11e5e0f44f56728391557ea3226ba80dfcd1f707bd5099,0.9408333333333333,0.9408333333333333,0.0,0.855,0.855,0.0
10018,0.85,200.0,0.9932085938751698,1.1666574534028769,1.0,18,31200,0,0.11240129780214825,0.19586251083387132,0.08346121303172307,True,0.13125,0.0,0.0,0.13125,0.8416666666666667,0.13102564102564102,0.010608974358974359,0.08096868884540118,0.12041666666666667,0.7679166666666667,1.4210854715202004e-14,33f3280927765fbb7a11e5e0f44f56728391557ea3226ba80dfcd1f707bd5099,0.975,0.975,0.0,0.7083333333333334,0.7083333333333334,0.0
10018,0.85,200.0,0.9932085938751698,1.1666574534028769,1.5,18,31200,0,0.10996703858278761,0.19506333562756675,0.08509629704477914,True,0.1310897435897436,0.0,0.0,0.1310897435897436,0.7908333333333334,0.13134615384615383,0.010608974358974359,0.08077110785749146,0.12073717948717949,0.7758333333333334,1.4210854715202004e-14,33f3280927765fbb7a11e5e0f44f56728391557ea3226ba80dfcd1f707bd5099,0.995,0.995,0.0,0.5866666666666667,0.5866666666666667,0.0
10019,0.65,100.0,1.0710114225745202,0.9886714193969965,0.5,19,31200,0,0.16246767902399298,0.25999131913961887,0.09752364011562589,True,0.13112179487179487,0.006730769230769231,0.05133219261794182,0.12439102564102564,0.9054166666666666,0.13105769230769232,0.021314102564102565,0.16263145023233064,0.10974358974358975,0.6458333333333334,1.4210854715202004e-14,42ae109c1135568788fc0bd7a74984a9796330917eb8f8d1a8af478496a91ed0,0.9375,0.8875,0.05,0.8733333333333333,0.8366666666666667,0.03666666666666667
10019,0.65,100.0,1.0710114225745202,0.9886714193969965,1.0,19,31200,0,0.1714154470258422,0.24369223418885527,0.07227678716301308,True,0.13099358974358974,0.008525641025641026,0.0650844139955958,0.12246794871794872,0.85,0.13141025641025642,0.01580128205128205,0.12024390243902439,0.11560897435897435,0.715,1.4210854715202004e-14,42ae109c1135568788fc0bd7a74984a9796330917eb8f8d1a8af478496a91ed0,0.9691666666666666,0.91,0.059166666666666666,0.7308333333333333,0.6816666666666666,0.049166666666666664
10019,0.65,100.0,1.0710114225745202,0.9886714193969965,1.5,19,31200,0,0.16606038865594544,0.2538353308621239,0.08777494220617846,True,0.13112179487179487,0.00858974358974359,0.06550965534099243,0.12253205128205129,0.80125,0.13102564102564102,0.017564102564102565,0.13405088062622308,0.11346153846153846,0.6966666666666667,1.4210854715202004e-14,42ae109c1135568788fc0bd7a74984a9796330917eb8f8d1a8af478496a91ed0,0.9875,0.92,0.0675,0.615,0.58,0.035
10020,0.65,200.0,1.1389102537184954,0.940861725062132,0.5,20,31200,0,0.15971774357709836,0.25529558381975,0.09557784024265162,True,0.13080128205128205,0.007083333333333333,0.054153393776035286,0.12371794871794872,0.9,0.13105769230769232,0.02076923076923077,0.15847395451210564,0.11028846153846154,0.6441666666666667,1.4210854715202004e-14,d5fb667b5422cbbee1aa7f378f5bbef9df29891329b37f76f959b7f6fc6a22af,0.9416666666666667,0.8791666666666667,0.0625,0.8583333333333333,0.8075,0.050833333333333335
10020,0.65,200.0,1.1389102537184954,0.940861725062132,1.0,20,31200,0,0.16577528151407922,0.23447426346539924,0.06869898195132002,True,0.13099358974358974,0.008653846153846154,0.06606312698801077,0.12233974358974359,0.85125,0.13112179487179487,0.014615384615384615,0.11146418968467367,0.11650641025641026,0.7104166666666667,1.4210854715202004e-14,d5fb667b5422cbbee1aa7f378f5bbef9df29891329b37f76f959b7f6fc6a22af,0.9791666666666666,0.9033333333333333,0.07583333333333334,0.7233333333333334,0.67,0.05333333333333334
10020,0.65,200.0,1.1389102537184954,0.940861725062132,1.5,20,31200,0,0.17076345036467255,0.2470075106699803,0.07624406030530775,True,0.13118589743589743,0.01,0.07622770583923773,0.12118589743589743,0.8008333333333333,0.13099358974358974,0.01580128205128205,0.12062637631514558,0.11519230769230769,0.6991666666666667,1.4210854715202004e-14,d5fb667b5422cbbee1aa7f378f5bbef9df29891329b37f76f959b7f6fc6a22af,0.995,0.9125,0.0825,0.6066666666666667,0.5683333333333334,0.03833333333333333
10021,0.9,100.0,0.822184930369258,1.1127932578325272,0.5,21,31200,0,0.112822472271825,0.1948915489591636,0.08206907668733861,True,0.1308653846153846,0.00016025641025641026,0.0012245897624295861,0.1307051282051282,0.8883333333333333,0.13105769230769232,0.010608974358974359,0.08094888725849841,0.12044871794871795,0.7491666666666666,1.4210854715202004e-14,db249e67132253f40787777aec2035c9eba113bad70ac2c74c39cecf31faa936,0.93,0.93,0.0,0.8466666666666667,0.8466666666666667,0.0
10021,0.9,100.0,0.822184930369258,1.1127932578325272,1.0,21,31200,0,0.11180460033782358,0.19389743147004435,0.08209283113222077,True,0.13125,0.0002564102564102564,0.0019536019536019536,0.13099358974358974,0.84875,0.13112179487179487,0.010608974358974359,0.08090931312637496,0.12051282051282051,0.765,1.4210854715202004e-14,db249e67132253f40787777aec2035c9eba113bad70ac2c74c39cecf31faa936,0.9716666666666667,0.9716666666666667,0.0,0.7258333333333333,0.7258333333333333,0.0
10021,0.9,100.0,0.822184930369258,1.1127932578325272,1.5,21,31200,0,0.10984315325482562,0.191449348778623,0.08160619552379737,True,0.1310897435897436,0.0005128205128205128,0.003911980440097799,0.1305769230769231,0.7979166666666667,0.13112179487179487,0.010608974358974359,0.08090931312637496,0.12051282051282051,0.775,1.4210854715202004e-14,db249e67132253f40787777aec2035c9eba113bad70ac2c74c39cecf31faa936,0.9908333333333333,0.9908333333333333,0.0,0.605,0.605,0.0
10022,0.95,100.0,1.0235899548977614,0.8634944740682841,0.5,22,31200,0,0.11345946448821177,0.19516124497408444,0.08170178048587266,True,0.13157051282051282,0.0,0.0,0.13157051282051282,0.8920833333333333,0.13128205128205128,0.01044871794871795,0.07958984375,0.12083333333333333,0.7504166666666666,1.4210854715202004e-14,03b76cb5a8d562a640a4572392a913dbf412daf056f82e8682587015f25e9421,0.9216666666666666,0.9216666666666666,0.0,0.8625,0.8625,0.0
10022,0.95,100.0,1.0235899548977614,0.8634944740682841,1.0,22,31200,0,0.11198072557739973,0.19386117557847551,0.08188045000107579,True,0.13137820512820514,0.0,0.0,0.13137820512820514,0.8629166666666667,0.13121794871794873,0.010192307692307691,0.07767464582315584,0.12102564102564102,0.7675,1.4210854715202004e-14,03b76cb5a8d562a640a4572392a913dbf412daf056f82e8682587015f25e9421,0.9575,0.9575,0.0,0.7683333333333333,0.7683333333333333,0.0
10022,0.95,100.0,1.0235899548977614,0.8634944740682841,1.5,22,31200,0,0.10991540930459359,0.193907721687332,0.08399231238273841,True,0.13157051282051282,3.205128205128205e-05,0.000243605359317905,0.13153846153846155,0.8316666666666667,0.13115384615384615,0.010288461538461538,0.07844574780058651,0.12086538461538461,0.76625,1.4210854715202004e-14,03b76cb5a8d562a640a4572392a913dbf412daf056f82e8682587015f25e9421,0.9841666666666666,0.9841666666666666,0.0,0.6791666666666667,0.6791666666666667,0.0
10023,0.85,50.0,0.9403149444609881,1.0917246725410223,0.5,23,31200,0,0.11823763552688751,0.20810362320138567,0.08986598767449816,True,0.1307371794871795,0.0002564102564102564,0.001961265015935278,0.13048076923076923,0.8875,0.13121794871794873,0.010865384615384615,0.08280410356619443,0.1203525641025641,0.7470833333333333,1.4210854715202004e-14,42d093d78529d9da035e68efb0e4b580d4c915270584282ea543a9c88a8925cd,0.9175,0.9175,0.0,0.8575,0.8533333333333334,0.004166666666666667
10023,0.85,50.0,0.9403149444609881,1.0917246725410223,1.0,23,31200,0,0.1172023684541879,0.2057865434718442,0.0885841750176563,True,0.1310897435897436,0.0003205128205128205,0.0024449877750611247,0.13076923076923078,0.8429166666666666,0.13118589743589743,0.01064102564102564,0.08111409723918886,0.12054487179487179,0.7658333333333334,1.4210854715202004e-14,42d093d78529d9da035e68efb0e4b580d4c915270584282ea543a9c88a8925cd,0.955,0.955,0.0,0.7308333333333333,0.7291666666666666,0.0016666666666666668
10023,0.85,50.0,0.9403149444609881,1.0917246725410223,1.5,23,31200,0,0.11467926622101135,0.2083198461304953,0.09364057990948396,True,0.13102564102564102,0.0004166666666666667,0.0031800391389432484,0.13060897435897437,0.7954166666666667,0.13099358974358974,0.010608974358974359,0.08098850012233913,0.12038461538461538,0.7670833333333333,1.4210854715202004e-14,42d093d78529d9da035e68efb0e4b580d4c915270584282ea543a9c88a8925cd,0.9783333333333334,0.9766666666666667,0.0016666666666666668,0.6125,0.6125,0.0
10024,0.85,200.0,1.0286580853164198,1.1359400257468224,0.5,24,31200,0,0.11601002168896064,0.20217145413291474,0.08616143244395409,True,0.13118589743589743,0.0,0.0,0.13118589743589743,0.8829166666666667,0.13118589743589743,0.010608974358974359,0.0808697776691913,0.12057692307692308,0.745,1.4210854715202004e-14,ec6616b14892ccc3a992965db89eebfa58c3044de4bbfd8794c001c593b349c5,0.9316666666666666,0.9316666666666666,0.0,0.8341666666666666,0.8341666666666666,0.0
10024,0.85,200.0,1.0286580853164198,1.1359400257468224,1.0,24,31200,0,0.11340447801001152,0.19771824356241272,0.0843137655524012,True,0.13105769230769232,0.0,0.0,0.13105769230769232,0.8395833333333333,0.13080128205128205,0.010608974358974359,0.08110757167360941,0.1201923076923077,0.7591666666666667,1.4210854715202004e-14,ec6616b14892ccc3a992965db89eebfa58c3044de4bbfd8794c001c593b349c5,0.97,0.97,0.0,0.7091666666666666,0.7091666666666666,0.0
10024,0.85,200.0,1.0286580853164198,1.1359400257468224,1.5,24,31200,0,0.1109601110705674,0.19534964995801105,0.08438953888744365,True,0.13134615384615383,6.41025641025641e-05,0.0004880429477794046,0.13128205128205128,0.79125,0.13134615384615383,0.010608974358974359,0.08077110785749146,0.12073717948717949,0.76875,1.4210854715202004e-14,ec6616b14892ccc3a992965db89eebfa58c3044de4bbfd8794c001c593b349c5,0.9925,0.9916666666666667,0.0008333333333333334,0.59,0.59,0.0
10025,0.95,100.0,0.9070472240447999,0.9079509057104588,0.5,25,31200,0,0.11474897993521209,0.1945528012472077,0.0798038213119956,True,0.13147435897435897,0.0,0.0,0.13147435897435897,0.8933333333333333,0.13118589743589743,0.010544871794871794,0.08038113852919619,0.12064102564102563,0.7445833333333334,1.4210854715202004e-14,296d180accf572aaee6b19d14a4914f545be7a5177f1b1a1023f7ee2e4b58910,0.925,0.925,0.0,0.8616666666666667,0.8616666666666667,0.0
10025,0.95,100.0,0.9070472240447999,0.9079509057104588,1.0,25,31200,0,0.1140106711307179,0.195165240880124,0.08115456974940609,True,0.13134615384615383,3.205128205128205e-05,0.0002440214738897023,0.13131410256410256,0.8566666666666667,0.13112179487179487,0.010416666666666666,0.07944267905157663,0.1207051282051282,0.76,1.4210854715202004e-14,296d180accf572aaee6b19d14a4914f545be7a5177f1b1a1023f7ee2e4b58910,0.9566666666666667,0.9566666666666667,0.0,0.7566666666666667,0.7566666666666667,0.0
10025,0.95,100.0,0.9070472240447999,0.9079509057104588,1.5,25,31200,0,0.11096102457791966,0.1931183285880763,0.08215730401015663,True,0.13131410256410256,0.0001282051282051282,0.000976324139614352,0.13118589743589743,0.8166666666666667,0.13118589743589743,0.010544871794871794,0.08038113852919619,0.12064102564102563,0.7654166666666666,1.4210854715202004e-14,296d180accf572aaee6b19d14a4914f545be7a5177f1b1a1023f7ee2e4b58910,0.9775,0.9775,0.0,0.6558333333333334,0.6558333333333334,0.0
10026,0.9,100.0,1.1088417768478394,1.0586200308054687,0.5,26,31200,0,0.1176964805946302,0.20502514776515726,0.08732866717052706,True,0.13157051282051282,3.205128205128205e-05,0.000243605359317905,0.13153846153846155,0.8970833333333333,0.1307051282051282,0.010512820512820513,0.08043158410985778,0.1201923076923077,0.7591666666666667,1.4210854715202004e-14,43ea3e197e9467302837b0960704e6400e75bb6b785f98f835d10f642a14bb30,0.9483333333333334,0.9475,0.0008333333333333334,0.8458333333333333,0.8458333333333333,0.0
10026,0.9,100.0,1.1088417768478394,1.0586200308054687,1.0,26,31200,0,0.11715657204098656,0.20590746717585914,0.08875089513487258,True,0.13121794871794873,3.205128205128205e-05,0.0002442598925256473,0.13118589743589743,0.8533333333333334,0.1308653846153846,0.01044871794871795,0.07984325251040901,0.12041666666666667,0.7641666666666667,1.4210854715202004e-14,43ea3e197e9467302837b0960704e6400e75bb6b785f98f835d10f642a14bb30,0.9791666666666666,0.9783333333333334,0.0008333333333333334,0.7275,0.7275,0.0
10026,0.9,100.0,1.1088417768478394,1.0586200308054687,1.5,26,31200,0,0.11466754944970783,0.20290959819192136,0.08824204874221353,True,0.13134615384615383,6.41025641025641e-05,0.0004880429477794046,0.13128205128205128,0.80375,0.13105769230769232,0.010512820512820513,0.08021521154316459,0.12054487179487179,0.7708333333333334,1.4210854715202004e-14,43ea3e197e9467302837b0960704e6400e75bb6b785f98f835d10f642a14bb30,0.9941666666666666,0.9933333333333333,0.0008333333333333334,0.6133333333333333,0.6133333333333333,0.0
10027,0.75,50.0,0.83045297190547,0.8868319172412158,0.5,27,31200,0,0.13093001665486037,0.23469157039638405,0.10376155374152368,True,0.1309294871794872,0.002564102564102564,0.019583843329253364,0.1283653846153846,0.8954166666666666,0.1310897435897436,0.017275641025641025,0.13178484107579463,0.11381410256410257,0.6820833333333334,1.4210854715202004e-14,cd424e779a657a80a739c2c661c005ad37cfff31062966929cb40ca7d91e5e9e,0.93,0.9091666666666667,0.020833333333333332,0.8608333333333333,0.8525,0.008333333333333333
