setting_id,language_pmax,dirichlet_kappa,quality_multiplier,conflict_multiplier,occlusion_strength,records,dirichlet_projection_fallbacks,nested_naurc,registered_naurc,naurc_gain,ranking_preserved,nested_coverage,nested_wrong_all,nested_wrong_admitted,nested_correct_all,nested_clean_coverage,registered_coverage,registered_wrong_all,registered_wrong_admitted,registered_correct_all,registered_clean_coverage,copy_mass_max_abs_drift,unoccluded_runtime_sha256,nested_clean_none_coverage,nested_clean_none_correct_all,nested_clean_none_wrong_all,nested_clean_partial_coverage,nested_clean_partial_correct_all,nested_clean_partial_wrong_all
83,0.75,200.0,0.9327453523874283,1.1468120098114014,1.0,31200,0,0.11670838894870866,0.20559347816934959,0.08888508922064092,True,0.13112179487179487,0.0005448717948717948,0.004155463211928624,0.1305769230769231,0.8379166666666666,0.1310897435897436,0.01064102564102564,0.08117359413202933,0.12044871794871795,0.7641666666666667,1.4210854715202004e-14,d1bc0f4a7846963c8f1a208278c5eacd05f84b590a6ec0deda7bff89815c3af3,0.9691666666666666,0.9608333333333333,0.008333333333333333,0.7066666666666667,0.7066666666666667,0.0
84,0.75,100.0,0.821864776685834,1.154190282523632,1.0,31200,0,0.11988602416856332,0.21063598446951945,0.09074996030095613,True,0.13118589743589743,0.0016025641025641025,0.01221597849987784,0.12958333333333333,0.8375,0.13096153846153846,0.011474358974358974,0.08761625061184533,0.11948717948717949,0.7491666666666666,1.4210854715202004e-14,8c96e39f705534d942b2a6f952d6f1f1769153c921d10464d9a8b50e0d361dae,0.9691666666666666,0.9483333333333334,0.020833333333333332,0.7058333333333333,0.7025,0.0033333333333333335
85,0.9,200.0,1.1990298099815846,0.9256536558270455,1.0,31200,0,0.1171159543776118,0.20518137898714772,0.08806542460953592,True,0.1310897435897436,3.205128205128205e-05,0.00024449877750611245,0.13105769230769232,0.85625,0.13102564102564102,0.010512820512820513,0.08023483365949119,0.12051282051282051,0.7591666666666667,1.4210854715202004e-14,22d27a7a0734fd8e3c215087a8fb887a5331338a329cb751bb29a7d4ed16ec45,0.97,0.9691666666666666,0.0008333333333333334,0.7425,0.7425,0.0
86,0.9,50.0,0.9562668435275555,1.0452726174145939,1.0,31200,0,0.11860338581869358,0.21287797679702702,0.09427459097833345,True,0.13105769230769232,9.615384615384615e-05,0.0007336757153338225,0.13096153846153846,0.8533333333333334,0.13134615384615383,0.010608974358974359,0.08077110785749146,0.12073717948717949,0.7683333333333333,1.4210854715202004e-14,f2d006f7a5d9209867e88d9fbacfce6fd78d5062178290ec71c67b4d05fe0684,0.9625,0.9625,0.0,0.7441666666666666,0.7433333333333333,0.0008333333333333334
87,0.65,200.0,1.0353369239717722,0.872246702387929,1.0,31200,0,0.1590169293993644,0.22922252847117217,0.07020559907180776,True,0.13112179487179487,0.006826923076923077,0.05206550965534099,0.1242948717948718,0.8591666666666666,0.13128205128205128,0.013782051282051282,0.10498046875,0.1175,0.7133333333333334,1.4210854715202004e-14,f05509ee190a9224f0c4560c86a9fe96d3112d57fd9e46b2c2603ddd739fe4ec,0.975,0.9266666666666666,0.04833333333333333,0.7433333333333333,0.6966666666666667,0.04666666666666667
88,0.65,50.0,0.9795733910053969,0.9076186843216419,1.0,31200,0,0.21363798346532684,0.25773201099405907,0.04409402752873223,True,0.13115384615384615,0.01548076923076923,0.11803519061583578,0.11567307692307692,0.8620833333333333,0.13076923076923078,0.01942307692307692,0.14852941176470588,0.11134615384615384,0.6854166666666667,1.4210854715202004e-14,26c0a99dc3b89b132eb04db43382f6a18b328d69aa14a5e9e8a334454cf01860,0.9741666666666666,0.8575,0.11666666666666667,0.75,0.6458333333333334,0.10416666666666667
89,0.85,200.0,1.0006963148713113,1.1846050180494787,1.0,31200,0,0.11306861492200941,0.20034437895689608,0.08727576403488667,True,0.13118589743589743,6.41025641025641e-05,0.0004886391399951136,0.13112179487179487,0.8358333333333333,0.1308974358974359,0.010608974358974359,0.08104799216454456,0.12028846153846154,0.7625,1.4210854715202004e-14,bca5ba251d30f3e5df560aaee421ed8182077ac222d0af17bd6927198c0b234f,0.9733333333333334,0.9725,0.0008333333333333334,0.6983333333333334,0.6983333333333334,0.0
90,0.95,50.0,0.8422965198755265,0.8917465399950744,1.0,31200,0,0.11548212087313815,0.20077831440155494,0.08529619352841679,True,0.13105769230769232,0.00022435897435897436,0.0017119100024455857,0.13083333333333333,0.8583333333333333,0.13099358974358974,0.010544871794871794,0.08049914362613164,0.12044871794871795,0.7583333333333333,1.4210854715202004e-14,a6283e43c3fb788332370e81d073942e19949a119809d17d3ef7563ee857f42c,0.95,0.95,0.0,0.7666666666666667,0.7666666666666667,0.0
91,0.75,100.0,1.1649323668330909,1.013197747990489,1.0,31200,0,0.1352206037825114,0.22378495677313007,0.08856435299061866,True,0.13102564102564102,0.002948717948717949,0.022504892367906065,0.1280769230769231,0.8529166666666667,0.1310897435897436,0.011666666666666667,0.08899755501222494,0.11942307692307692,0.7475,1.4210854715202004e-14,3a127f6e830afae4d5d7bfd6e2e0be3b8c7d84964851c123499d01cfc8d01608,0.9808333333333333,0.9566666666666667,0.024166666666666666,0.725,0.71,0.015
92,0.85,50.0,1.075806624442339,1.0861905720084906,1.0,31200,0,0.12492342613330795,0.21533688866538672,0.09041346253207877,True,0.13128205128205128,0.0009935897435897436,0.007568359375,0.13028846153846155,0.84125,0.1310897435897436,0.010865384615384615,0.08288508557457212,0.12022435897435897,0.75625,1.4210854715202004e-14,aa2b78823b65c1caf31377725bb9d393ceb48d1f0041aa8f4d0006bca98d1165,0.97,0.9625,0.0075,0.7125,0.705,0.0075
93,0.95,200.0,0.9032924700528384,0.8092584606260061,1.0,31200,0,0.11115502608167362,0.1920892593835037,0.0809342333018301,True,0.1307371794871795,3.205128205128205e-05,0.00024515812699190976,0.1307051282051282,0.8620833333333333,0.1308653846153846,0.010544871794871794,0.08057800636786676,0.12032051282051281,0.7595833333333334,1.4210854715202004e-14,779431ee86ce61c21e35d080f11073d624c32a4e1d937a3b4af9afe9290c699a,0.9633333333333334,0.9633333333333334,0.0,0.7608333333333334,0.7608333333333334,0.0
94,0.9,100.0,1.1397993329912426,1.114834799617529,1.0,31200,0,0.11773344873381095,0.2083235809074931,0.09059013217368214,True,0.13134615384615383,3.205128205128205e-05,0.0002440214738897023,0.13131410256410256,0.8404166666666667,0.1307051282051282,0.010416666666666666,0.07969592937714566,0.12028846153846154,0.7570833333333333,1.4210854715202004e-14,2807d869f33599b450330f0337b53f2d6e408f891764d1d2029fb85895e9b335,0.975,0.9741666666666666,0.0008333333333333334,0.7058333333333333,0.7058333333333333,0.0
95,0.65,200.0,0.8686027877032757,0.9933294765651226,1.0,31200,0,0.14326085813398773,0.22166502563540327,0.07840416750141554,True,0.1309294871794872,0.00532051282051282,0.040636474908200736,0.12560897435897436,0.8520833333333333,0.13102564102564102,0.012564102564102564,0.0958904109589041,0.11846153846153847,0.72375,1.4210854715202004e-14,a48e88ed43b241ae0740f4563f034d67710c19ce4d15f89712fc144c1cfbe2ae,0.975,0.9425,0.0325,0.7291666666666666,0.6833333333333333,0.04583333333333333
96,0.65,50.0,0.9429448902606965,0.8671704061329365,1.0,31200,0,0.1946233092374336,0.2586082481983469,0.06398493896091328,True,0.1309294871794872,0.012275641025641026,0.0937576499388005,0.11865384615384615,0.865,0.13099358974358974,0.020192307692307693,0.15414729630535845,0.11080128205128205,0.6625,1.4210854715202004e-14,bb0e4d48aee15f6c165ef089956d191af122f852117b30926ffc247688aa6ffd,0.9666666666666667,0.8641666666666666,0.1025,0.7633333333333333,0.7,0.06333333333333334
97,0.9,200.0,1.0654498871415854,1.0378456689417364,1.0,31200,0,0.11391015327385344,0.19886087236506866,0.08495071909121522,True,0.13128205128205128,0.0,0.0,0.13128205128205128,0.8516666666666667,0.13102564102564102,0.010576923076923078,0.08072407045009784,0.12044871794871795,0.7604166666666666,1.4210854715202004e-14,46e6aeebb942bd08be8bb34e02cf7112f5dff017c5ff894ce82f64b111c6fd6f,0.97,0.97,0.0,0.7333333333333333,0.7333333333333333,0.0
98,0.95,100.0,0.8789094459265471,0.9322924863547087,1.0,31200,0,0.11355927060295566,0.1973291029414332,0.08376983233847753,True,0.1308974358974359,0.0001282051282051282,0.0009794319294809011,0.13076923076923078,0.8579166666666667,0.1310897435897436,0.010576923076923078,0.08068459657701711,0.12051282051282051,0.7666666666666667,1.4210854715202004e-14,c38c036b53df2a7e5b45e1cf3b1544b4ec53ec39e6be52d78cf91fb64e151955,0.9616666666666667,0.96,0.0016666666666666668,0.7541666666666667,0.7541666666666667,0.0
99,0.85,200.0,1.100194512307644,1.1600546937435867,1.0,31200,0,0.11339705909635361,0.1997403943083517,0.08634333521199808,True,0.13121794871794873,6.41025641025641e-05,0.0004885197850512946,0.13115384615384615,0.835,0.13076923076923078,0.010608974358974359,0.08112745098039216,0.1201602564102564,0.7541666666666667,1.4210854715202004e-14,067c4dcd1aa872af8dd42328f77b11269a341c02cc026fa799d0227969fa0407,0.975,0.9741666666666666,0.0008333333333333334,0.695,0.695,0.0
100,0.75,50.0,1.0391934130340816,1.1393828239291908,1.0,31200,0,0.14155000439940144,0.22986435558918644,0.088314351189785,True,0.13121794871794873,0.003942307692307692,0.030043966780654616,0.127275641025641,0.8379166666666666,0.13131410256410256,0.012948717948717948,0.09860873810104955,0.11836538461538462,0.7383333333333333,1.4210854715202004e-14,3d4a2c25de00aa6697dd58eff88de918205b45287255f1009ddf3523c567af9a,0.9766666666666667,0.9391666666666667,0.0375,0.6991666666666667,0.6866666666666666,0.0125
101,0.95,200.0,0.9680308006703854,0.9686640318483115,1.0,31200,0,0.11108482071647581,0.19030812090451796,0.07922330018804215,True,0.13076923076923078,0.0,0.0,0.13076923076923078,0.8529166666666667,0.13115384615384615,0.010384615384615384,0.07917888563049853,0.12076923076923077,0.7625,1.4210854715202004e-14,dc6e8ccdf6fa39169f852b720f159613059a0a0316ca736466648a360cef52d9,0.9666666666666667,0.9666666666666667,0.0,0.7391666666666666,0.7391666666666666,0.0
