pair_id,score,edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks,mean_budget_delta,ncsAURC_delta,direction
HandWritten-Mfeat__TMC,native_nonvacuity,E081,P035,P005,3,2,0+1,-5.207035078835918,0.25847493214828254,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E082,P035,P015,3,2,0+2,-0.9949085522733938,-0.0003609047753475869,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E083,P035,P025,3,2,1+2,-5.567634642214871,0.10099644985073332,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E084,P036,P005,3,2,0+1,-0.4021286620374416,0.15628307799892394,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E085,P036,P016,3,2,0+2,-1.0051789422968724,0.07131687261401806,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E086,P036,P026,3,2,1+2,-1.12244060738141,-0.006748163726138734,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E087,P037,P006,3,2,0+1,-5.207556913852004,0.22973464712379915,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E088,P037,P015,3,2,0+2,-0.5032342526637796,0.0008686623928003275,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E089,P037,P026,3,2,1+2,-5.435672724570272,0.09667325759136777,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E090,P038,P007,4,3,0+1,-5.207556913852004,0.19724004681107543,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E091,P038,P017,4,3,0+2,-1.0051789422968724,0.0004917315872981047,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E092,P038,P027,4,3,1+2,-5.567634642214871,0.12990200406647548,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E093,P038,P035,4,3,0+3,-1.2310296880083627,0.0012360834798179543,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E094,P038,P036,4,3,1+3,-6.035936104806838,0.10342793762917654,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E095,P038,P037,4,3,2+3,-1.7227039876179768,6.51631167003985e-06,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E096,P039,P005,3,2,0+1,-0.5156378524557916,0.20547026825351622,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E097,P039,P018,3,2,0+2,-1.0280018823607682,0.020246205166345302,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E098,P039,P028,3,2,1+2,-1.2506166809873032,0.048481501603102675,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E099,P040,P005,3,2,0+1,-0.6529417689552759,0.15034326036201676,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E100,P040,P019,3,2,0+2,-1.2998035520133417,0.0037352854603733693,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E101,P040,P029,3,2,1+2,-1.0299079869055496,0.014038951468828248,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E102,P041,P006,3,2,0+1,-0.8828095306785074,0.17570465142831446,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E103,P041,P018,3,2,0+2,-0.9029774259577827,0.020450440533774844,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E104,P041,P029,3,2,1+2,-0.76757961400308,0.06937019472775724,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E105,P042,P007,4,3,0+1,-0.8828095306785073,0.1483400502984667,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E106,P042,P020,4,3,0+2,-1.2998035520133413,0.05777224359416507,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E107,P042,P030,4,3,1+2,-1.250616680987303,0.20006086736982634,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E108,P042,P039,4,3,0+3,-1.5976795312149912,0.005340750861975545,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E109,P042,P040,4,3,1+3,-1.460375614715507,0.060467758753474994,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E110,P042,P041,4,3,2+3,-1.7227039876179766,0.005136515494546003,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E111,P043,P008,3,2,0+1,-5.214281560492248,0.11162974701466749,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E112,P043,P015,3,2,0+2,-0.3770602218626733,0.0001422346821091016,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E113,P043,P028,3,2,1+2,-5.324165576956709,0.10198930495532568,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E114,P044,P008,3,2,0+1,-0.7760249869004001,0.014185810378834818,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E115,P044,P016,3,2,0+2,-0.75398045509278,0.07656792958500067,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E116,P044,P029,3,2,1+2,-0.5278963927836229,0.02522982607671803,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E117,P045,P009,3,2,0+1,-5.2244981859899235,0.11937734020657143,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E118,P045,P015,3,2,0+2,-0.7261849162251881,-0.0005045741244010986,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E119,P045,P029,3,2,1+2,-5.315277660737985,0.12202695390604051,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E120,P046,P010,4,3,0+1,-5.2244981859899235,0.2436492809070036,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E121,P046,P017,4,3,0+2,-0.7539804550927798,-0.0018651559333062112,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E122,P046,P030,4,3,1+2,-5.324165576956707,0.24660397636183076,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E123,P046,P043,4,3,0+3,-1.5976795312149905,-0.0016239434982430502,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E124,P046,P044,4,3,1+3,-6.035936104806838,0.09581999313758963,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E125,P046,P045,4,3,2+3,-1.2485548368524757,-0.00097713469173285,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E126,P047,P011,4,3,0+1,-5.214281560492246,0.05851360145626386,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E127,P047,P021,4,3,0+2,-1.0280018823607664,-0.0005213727714839913,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E128,P047,P031,4,3,1+2,-5.56763464221487,0.02540893889544179,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E129,P047,P035,4,3,0+3,-0.8317793235603599,0.0006268053952655653,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E130,P047,P039,4,3,1+3,-5.5231765499404855,0.05363146929003189,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E131,P047,P043,4,3,2+3,-1.4496276539710804,0.0001236659378088768,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E132,P048,P011,4,3,0+1,-0.7760249869003997,0.01710026757933543,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E133,P048,P022,4,3,0+2,-1.299803552013341,0.017623929486547327,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E134,P048,P032,4,3,1+2,-1.1224406073814095,0.027764604751359168,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E135,P048,P036,4,3,0+3,-1.1984291667669889,0.06140532566769573,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E136,P048,P040,4,3,1+3,-0.9476160598491545,0.06734514330460291,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E137,P048,P044,4,3,2+3,-1.4496276539710813,0.056154268696713125,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E138,P049,P012,4,3,0+1,-5.224498185989923,0.06365034384506281,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E139,P049,P021,4,3,0+2,-0.902977425957781,-0.0015181264174721244,coarsening_improves
