edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks
E188,P064,P062,3,2,0+2
E189,P064,P063,3,2,1+2
E190,P065,P000,2,1,0+1
E191,P066,P000,2,1,0+1
E192,P067,P001,3,2,0+1
E193,P067,P065,3,2,0+2
E194,P067,P066,3,2,1+2
E195,P068,P002,3,2,0+1
E196,P068,P062,3,2,0+2
E197,P068,P065,3,2,1+2
E198,P069,P002,3,2,0+1
E199,P069,P063,3,2,0+2
E200,P069,P066,3,2,1+2
E201,P070,P003,3,2,0+1
E202,P070,P062,3,2,0+2
E203,P070,P066,3,2,1+2
E204,P071,P004,4,3,0+1
E205,P071,P064,4,3,0+2
E206,P071,P067,4,3,1+2
E207,P071,P068,4,3,0+3
E208,P071,P069,4,3,1+3
E209,P071,P070,4,3,2+3
E210,P072,P005,3,2,0+1
E211,P072,P052,3,2,0+2
E212,P072,P062,3,2,1+2
E213,P073,P005,3,2,0+1
E214,P073,P053,3,2,0+2
E215,P073,P063,3,2,1+2
E216,P074,P006,3,2,0+1
E217,P074,P052,3,2,0+2
E218,P074,P063,3,2,1+2
E219,P075,P007,4,3,0+1
E220,P075,P054,4,3,0+2
E221,P075,P064,4,3,1+2
E222,P075,P072,4,3,0+3
E223,P075,P073,4,3,1+3
E224,P075,P074,4,3,2+3
E225,P076,P005,3,2,0+1
E226,P076,P055,3,2,0+2
E227,P076,P065,3,2,1+2
E228,P077,P005,3,2,0+1
E229,P077,P056,3,2,0+2
E230,P077,P066,3,2,1+2
E231,P078,P006,3,2,0+1
E232,P078,P055,3,2,0+2
E233,P078,P066,3,2,1+2
E234,P079,P007,4,3,0+1
E235,P079,P057,4,3,0+2
E236,P079,P067,4,3,1+2
E237,P079,P076,4,3,0+3
E238,P079,P077,4,3,1+3
E239,P079,P078,4,3,2+3
E240,P080,P008,3,2,0+1
E241,P080,P052,3,2,0+2
E242,P080,P065,3,2,1+2
E243,P081,P008,3,2,0+1
E244,P081,P053,3,2,0+2
E245,P081,P066,3,2,1+2
E246,P082,P009,3,2,0+1
E247,P082,P052,3,2,0+2
E248,P082,P066,3,2,1+2
E249,P083,P010,4,3,0+1
E250,P083,P054,4,3,0+2
E251,P083,P067,4,3,1+2
E252,P083,P080,4,3,0+3
E253,P083,P081,4,3,1+3
E254,P083,P082,4,3,2+3
E255,P084,P011,4,3,0+1
E256,P084,P058,4,3,0+2
E257,P084,P068,4,3,1+2
E258,P084,P072,4,3,0+3
E259,P084,P076,4,3,1+3
E260,P084,P080,4,3,2+3
E261,P085,P011,4,3,0+1
E262,P085,P059,4,3,0+2
E263,P085,P069,4,3,1+2
E264,P085,P073,4,3,0+3
E265,P085,P077,4,3,1+3
E266,P085,P081,4,3,2+3
E267,P086,P012,4,3,0+1
E268,P086,P058,4,3,0+2
E269,P086,P069,4,3,1+2
E270,P086,P074,4,3,0+3
E271,P086,P078,4,3,1+3
E272,P086,P082,4,3,2+3
E273,P087,P013,4,3,0+1
E274,P087,P060,4,3,0+2
E275,P087,P070,4,3,1+2
E276,P087,P072,4,3,0+3
E277,P087,P077,4,3,1+3
E278,P087,P082,4,3,2+3
E279,P088,P014,5,4,0+1
E280,P088,P061,5,4,0+2
E281,P088,P071,5,4,1+2
E282,P088,P075,5,4,0+3
E283,P088,P079,5,4,1+3
E284,P088,P083,5,4,2+3
E285,P088,P084,5,4,0+4
E286,P088,P085,5,4,1+4
E287,P088,P086,5,4,2+4
E288,P088,P087,5,4,3+4
E289,P089,P000,2,1,0+1
E290,P090,P000,2,1,0+1
E291,P091,P001,3,2,0+1
E292,P091,P089,3,2,0+2
E293,P091,P090,3,2,1+2
E294,P092,P000,2,1,0+1
E295,P093,P000,2,1,0+1
E296,P094,P001,3,2,0+1
E297,P094,P092,3,2,0+2
E298,P094,P093,3,2,1+2
E299,P095,P002,3,2,0+1
E300,P095,P089,3,2,0+2
E301,P095,P092,3,2,1+2
E302,P096,P002,3,2,0+1
E303,P096,P090,3,2,0+2
E304,P096,P093,3,2,1+2
E305,P097,P003,3,2,0+1
E306,P097,P089,3,2,0+2
E307,P097,P093,3,2,1+2
E308,P098,P004,4,3,0+1
E309,P098,P091,4,3,0+2
E310,P098,P094,4,3,1+2
E311,P098,P095,4,3,0+3
E312,P098,P096,4,3,1+3
