edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks
E808,P198,P183,5,4,1+4
E809,P198,P188,5,4,2+4
E810,P198,P193,5,4,3+4
E811,P199,P048,5,4,0+1
E812,P199,P084,5,4,0+2
E813,P199,P122,5,4,1+2
E814,P199,P140,5,4,0+3
E815,P199,P157,5,4,1+3
E816,P199,P174,5,4,2+3
E817,P199,P179,5,4,0+4
E818,P199,P184,5,4,1+4
E819,P199,P189,5,4,2+4
E820,P199,P194,5,4,3+4
E821,P200,P049,5,4,0+1
E822,P200,P086,5,4,0+2
E823,P200,P123,5,4,1+2
E824,P200,P138,5,4,0+3
E825,P200,P156,5,4,1+3
E826,P200,P174,5,4,2+3
E827,P200,P180,5,4,0+4
E828,P200,P185,5,4,1+4
E829,P200,P190,5,4,2+4
E830,P200,P195,5,4,3+4
E831,P201,P050,5,4,0+1
E832,P201,P087,5,4,0+2
E833,P201,P124,5,4,1+2
E834,P201,P141,5,4,0+3
E835,P201,P158,5,4,1+3
E836,P201,P175,5,4,2+3
E837,P201,P177,5,4,0+4
E838,P201,P183,5,4,1+4
E839,P201,P189,5,4,2+4
E840,P201,P195,5,4,3+4
E841,P202,P051,6,5,0+1
E842,P202,P088,6,5,0+2
E843,P202,P125,6,5,1+2
E844,P202,P142,6,5,0+3
E845,P202,P159,6,5,1+3
E846,P202,P176,6,5,2+3
E847,P202,P181,6,5,0+4
E848,P202,P186,6,5,1+4
E849,P202,P191,6,5,2+4
E850,P202,P196,6,5,3+4
E851,P202,P197,6,5,0+5
E852,P202,P198,6,5,1+5
E853,P202,P199,6,5,2+5
E854,P202,P200,6,5,3+5
E855,P202,P201,6,5,4+5
