method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
quality_weighted_fusion,0.4,31200.0,12483.0,4998.0,7485.0,0.4000961538461538,0.1601923076923077,0.40038452295121363,0.23990384615384616
quality_weighted_fusion,0.41,31200.0,12788.0,5205.0,7583.0,0.40987179487179487,0.16682692307692307,0.4070222083203003,0.2430448717948718
quality_weighted_fusion,0.42,31200.0,13100.0,5443.0,7657.0,0.4198717948717949,0.1744551282051282,0.4154961832061069,0.24541666666666667
quality_weighted_fusion,0.43,31200.0,13408.0,5688.0,7720.0,0.4297435897435897,0.1823076923076923,0.42422434367541767,0.24743589743589745
quality_weighted_fusion,0.44,31200.0,13727.0,5941.0,7786.0,0.4399679487179487,0.19041666666666668,0.43279667807969696,0.24955128205128205
quality_weighted_fusion,0.45,31200.0,14032.0,6181.0,7851.0,0.44974358974358974,0.19810897435897437,0.44049315849486886,0.2516346153846154
quality_weighted_fusion,0.46,31200.0,14346.0,6428.0,7918.0,0.4598076923076923,0.20602564102564103,0.4480691481946187,0.2537820512820513
quality_weighted_fusion,0.47,31200.0,14664.0,6686.0,7978.0,0.47,0.2142948717948718,0.45594653573376975,0.2557051282051282
quality_weighted_fusion,0.48,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.49,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.5,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.51,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.52,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.53,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.54,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.55,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.56,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.57,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.58,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.59,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
quality_weighted_fusion,0.6,31200.0,14730.0,6739.0,7991.0,0.4721153846153846,0.21599358974358973,0.4575016972165648,0.2561217948717949
product_evidence_fusion,0.01,31200.0,312.0,6.0,306.0,0.01,0.0001923076923076923,0.019230769230769232,0.009807692307692307
product_evidence_fusion,0.02,31200.0,625.0,42.0,583.0,0.020032051282051284,0.001346153846153846,0.0672,0.018685897435897436
product_evidence_fusion,0.03,31200.0,937.0,70.0,867.0,0.030032051282051282,0.0022435897435897434,0.07470651013874066,0.02778846153846154
