method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
product_evidence_fusion,0.38,31200,11855,7894,3961,0.3799679487179487,0.25301282051282054,0.1269551282051282,0.6658793757908056
product_evidence_fusion,0.39,31200,12168,8002,4166,0.39,0.256474358974359,0.13352564102564102,0.6576265614727154
product_evidence_fusion,0.4,31200,12480,8112,4368,0.4,0.26,0.14,0.65
product_evidence_fusion,0.41,31200,12789,8235,4554,0.4099038461538462,0.2639423076923077,0.14596153846153845,0.6439127375087966
product_evidence_fusion,0.42,31200,13108,8396,4712,0.42012820512820515,0.2691025641025641,0.15102564102564103,0.6405248703082087
product_evidence_fusion,0.43,31200,13421,8561,4860,0.4301602564102564,0.27439102564102563,0.15576923076923077,0.6378809328664033
product_evidence_fusion,0.44,31200,13731,8754,4977,0.44009615384615386,0.28057692307692306,0.15951923076923077,0.6375355036049815
product_evidence_fusion,0.45,31200,14040,8972,5068,0.45,0.2875641025641026,0.16243589743589743,0.639031339031339
product_evidence_fusion,0.46,31200,14350,9219,5131,0.4599358974358974,0.2954807692307692,0.1644551282051282,0.6424390243902439
product_evidence_fusion,0.47,31200,14663,9483,5180,0.4699679487179487,0.3039423076923077,0.16602564102564102,0.6467298642842528
product_evidence_fusion,0.48,31200,14973,9750,5223,0.4799038461538462,0.3125,0.16740384615384615,0.6511721097976357
product_evidence_fusion,0.49,31200,15290,10031,5259,0.49006410256410254,0.32150641025641025,0.1685576923076923,0.6560497056899934
product_evidence_fusion,0.5,31200,15597,10294,5303,0.49990384615384614,0.32993589743589746,0.1699679487179487,0.6599987177021222
product_evidence_fusion,0.51,31200,15915,10571,5344,0.5100961538461538,0.33881410256410255,0.1712820512820513,0.6642161482877789
product_evidence_fusion,0.52,31200,16225,10832,5393,0.5200320512820513,0.34717948717948716,0.1728525641025641,0.6676117103235747
product_evidence_fusion,0.53,31200,16536,11099,5437,0.53,0.3557371794871795,0.17426282051282052,0.6712022254475085
product_evidence_fusion,0.54,31200,16840,11354,5486,0.5397435897435897,0.3639102564102564,0.17583333333333334,0.6742280285035629
product_evidence_fusion,0.55,31200,17157,11613,5544,0.5499038461538461,0.3722115384615385,0.1776923076923077,0.6768665850673194
product_evidence_fusion,0.56,31200,17468,11856,5612,0.5598717948717948,0.38,0.17987179487179486,0.6787268147469658
product_evidence_fusion,0.57,31200,17779,12099,5680,0.5698397435897435,0.3877884615384615,0.18205128205128204,0.6805219641149671
product_evidence_fusion,0.58,31200,18091,12356,5735,0.5798397435897436,0.39602564102564103,0.18381410256410258,0.6829915427560665
product_evidence_fusion,0.59,31200,18415,12625,5790,0.590224358974359,0.4046474358974359,0.18557692307692308,0.6855824056475699
product_evidence_fusion,0.6,31200,18719,12865,5854,0.5999679487179487,0.41233974358974357,0.18762820512820513,0.6872696191035846
nested_evidential_composition,0.01,31200,309,309,0,0.009903846153846154,0.009903846153846154,0.0,1.0
nested_evidential_composition,0.02,31200,625,625,0,0.020032051282051284,0.020032051282051284,0.0,1.0
nested_evidential_composition,0.03,31200,935,935,0,0.02996794871794872,0.02996794871794872,0.0,1.0
nested_evidential_composition,0.04,31200,1236,1236,0,0.039615384615384615,0.039615384615384615,0.0,1.0
nested_evidential_composition,0.05,31200,1561,1561,0,0.05003205128205128,0.05003205128205128,0.0,1.0
nested_evidential_composition,0.06,31200,1869,1869,0,0.059903846153846155,0.059903846153846155,0.0,1.0
nested_evidential_composition,0.07,31200,2179,2179,0,0.06983974358974358,0.06983974358974358,0.0,1.0
nested_evidential_composition,0.08,31200,2499,2446,53,0.08009615384615384,0.07839743589743589,0.0016987179487179488,0.9787915166066427
nested_evidential_composition,0.09,31200,2822,2662,160,0.09044871794871795,0.08532051282051283,0.005128205128205128,0.9433026222537207
nested_evidential_composition,0.1,31200,3104,2862,242,0.09948717948717949,0.09173076923076923,0.007756410256410257,0.9220360824742269
nested_evidential_composition,0.11,31200,3400,3085,315,0.10897435897435898,0.09887820512820512,0.010096153846153847,0.9073529411764706
nested_evidential_composition,0.12,31200,3717,3330,387,0.11913461538461538,0.10673076923076923,0.012403846153846154,0.8958837772397095
nested_evidential_composition,0.13,31200,4043,3593,450,0.12958333333333333,0.11516025641025641,0.014423076923076924,0.8886965124907247
nested_evidential_composition,0.14,31200,4330,3832,498,0.1387820512820513,0.12282051282051282,0.01596153846153846,0.8849884526558891
nested_evidential_composition,0.15,31200,4695,4115,580,0.15048076923076922,0.13189102564102564,0.01858974358974359,0.8764643237486688
nested_evidential_composition,0.16,31200,5016,4364,652,0.16076923076923078,0.13987179487179488,0.0208974358974359,0.8700159489633174
nested_evidential_composition,0.17,31200,5352,4599,753,0.17153846153846153,0.14740384615384616,0.024134615384615386,0.859304932735426
nested_evidential_composition,0.18,31200,5655,4809,846,0.18125,0.1541346153846154,0.027115384615384614,0.8503978779840848
nested_evidential_composition,0.19,31200,5966,4992,974,0.19121794871794873,0.16,0.031217948717948717,0.8367415353670801
nested_evidential_composition,0.2,31200,6288,5169,1119,0.20153846153846153,0.16567307692307692,0.03586538461538462,0.8220419847328244
nested_evidential_composition,0.21,31200,6590,5322,1268,0.21121794871794872,0.17057692307692307,0.04064102564102564,0.8075872534142641
nested_evidential_composition,0.22,31200,6877,5464,1413,0.22041666666666668,0.17512820512820512,0.04528846153846154,0.7945324996364694
nested_evidential_composition,0.23,31200,7176,5623,1553,0.23,0.18022435897435898,0.049775641025641026,0.7835841694537347
nested_evidential_composition,0.24,31200,7479,5789,1690,0.23971153846153845,0.1855448717948718,0.05416666666666667,0.7740339617595935
nested_evidential_composition,0.25,31200,7797,5957,1840,0.24990384615384614,0.19092948717948718,0.05897435897435897,0.7640117994100295
nested_evidential_composition,0.26,31200,8130,6113,2017,0.2605769230769231,0.1959294871794872,0.06464743589743589,0.7519065190651907
nested_evidential_composition,0.27,31200,8418,6246,2172,0.2698076923076923,0.2001923076923077,0.06961538461538462,0.7419814682822523
nested_evidential_composition,0.28,31200,8718,6378,2340,0.27942307692307694,0.20442307692307693,0.075,0.7315898141775636
nested_evidential_composition,0.29,31200,9032,6515,2517,0.2894871794871795,0.20881410256410257,0.08067307692307692,0.7213241806908769
nested_evidential_composition,0.3,31200,9337,6648,2689,0.2992628205128205,0.21307692307692308,0.08618589743589744,0.7120059976437828
nested_evidential_composition,0.31,31200,9657,6794,2863,0.30951923076923077,0.21775641025641027,0.09176282051282052,0.7035311173242208
nested_evidential_composition,0.32,31200,9950,6913,3037,0.3189102564102564,0.22157051282051282,0.0973397435897436,0.6947738693467337
nested_evidential_composition,0.33,31200,10250,7026,3224,0.328525641025641,0.2251923076923077,0.10333333333333333,0.6854634146341464
nested_evidential_composition,0.34,31200,10543,7150,3393,0.33791666666666664,0.22916666666666666,0.10875,0.6781750924784217
nested_evidential_composition,0.35,31200,10880,7315,3565,0.3487179487179487,0.2344551282051282,0.11426282051282051,0.6723345588235294
