method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
product_evidence_fusion,0.54,31200,14730,6760,7970,0.4721153846153846,0.21666666666666667,0.25544871794871793,0.4589273591310251
product_evidence_fusion,0.55,31200,14730,6760,7970,0.4721153846153846,0.21666666666666667,0.25544871794871793,0.4589273591310251
product_evidence_fusion,0.56,31200,14730,6760,7970,0.4721153846153846,0.21666666666666667,0.25544871794871793,0.4589273591310251
product_evidence_fusion,0.57,31200,14730,6760,7970,0.4721153846153846,0.21666666666666667,0.25544871794871793,0.4589273591310251
product_evidence_fusion,0.58,31200,14730,6760,7970,0.4721153846153846,0.21666666666666667,0.25544871794871793,0.4589273591310251
product_evidence_fusion,0.59,31200,14730,6760,7970,0.4721153846153846,0.21666666666666667,0.25544871794871793,0.4589273591310251
product_evidence_fusion,0.6,31200,14730,6760,7970,0.4721153846153846,0.21666666666666667,0.25544871794871793,0.4589273591310251
nested_evidential_composition,0.01,31200,319,0,319,0.010224358974358975,0.0,0.010224358974358975,0.0
nested_evidential_composition,0.02,31200,613,0,613,0.019647435897435898,0.0,0.019647435897435898,0.0
nested_evidential_composition,0.03,31200,926,0,926,0.02967948717948718,0.0,0.02967948717948718,0.0
nested_evidential_composition,0.04,31200,1247,0,1247,0.03996794871794872,0.0,0.03996794871794872,0.0
nested_evidential_composition,0.05,31200,1549,0,1549,0.0496474358974359,0.0,0.0496474358974359,0.0
nested_evidential_composition,0.06,31200,1850,0,1850,0.05929487179487179,0.0,0.05929487179487179,0.0
nested_evidential_composition,0.07,31200,2185,0,2185,0.07003205128205128,0.0,0.07003205128205128,0.0
nested_evidential_composition,0.08,31200,2483,0,2483,0.07958333333333334,0.0,0.07958333333333334,0.0
nested_evidential_composition,0.09,31200,2788,0,2788,0.08935897435897436,0.0,0.08935897435897436,0.0
nested_evidential_composition,0.1,31200,3087,0,3087,0.09894230769230769,0.0,0.09894230769230769,0.0
nested_evidential_composition,0.11,31200,3425,0,3425,0.10977564102564102,0.0,0.10977564102564102,0.0
nested_evidential_composition,0.12,31200,3742,0,3742,0.11993589743589744,0.0,0.11993589743589744,0.0
nested_evidential_composition,0.13,31200,4062,0,4062,0.1301923076923077,0.0,0.1301923076923077,0.0
nested_evidential_composition,0.14,31200,4372,0,4372,0.14012820512820512,0.0,0.14012820512820512,0.0
nested_evidential_composition,0.15,31200,4688,0,4688,0.15025641025641026,0.0,0.15025641025641026,0.0
nested_evidential_composition,0.16,31200,4990,188,4802,0.15993589743589742,0.006025641025641026,0.1539102564102564,0.03767535070140281
nested_evidential_composition,0.17,31200,5304,317,4987,0.17,0.01016025641025641,0.1598397435897436,0.05976621417797889
