method,arm,metric,donor_macro,seed_sd,seed_min,seed_max,seeds,donors,records,pair_id,support_low,support_high
product,registered_copy_m8,top_class_flip_rate,0.015166666666666667,0.0024579802006254366,0.011666666666666667,0.017499999999999998,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,ncsAURC,0.0014609409712065234,0.0002730121452236287,0.0012315044571282058,0.0019232593999071266,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,accuracy,0.9729999999999999,0.0015138251770487777,0.9708333333333332,0.975,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,macro_f1,0.9728323419265145,0.0015413173753159265,0.9705948117820076,0.9748145676675843,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,nll,0.17774311695050124,0.005880514812818322,0.17396282810260608,0.18791792715268255,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,brier,0.0581837459410663,0.0019078062475006495,0.05684293700168378,0.061544159201192494,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,ece_10bin,0.07331670242381225,0.004023448152909922,0.06875137185051305,0.07969463645161891,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,posterior_l1_from_native,0.17395456002270898,0.0020630890214115593,0.1707297056193475,0.17572879684021003,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,budget_ratio,nan,nan,nan,nan,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,false_split_m8,top_class_flip_rate,0.015166666666666667,0.0024579802006254366,0.011666666666666667,0.017499999999999998,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,ncsAURC,6.349206349206364e-05,3.549314249999674e-05,0.0,7.936507936507954e-05,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,accuracy,0.9790000000000001,0.0022360679774998415,0.975,0.9800000000000001,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,macro_f1,0.9789328856851321,0.0023581718178826935,0.9747144596952042,0.9799874921826142,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,nll,0.21003266757359915,0.007185831392283552,0.2027884764187949,0.22144531798121966,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,brier,0.060698130097904,0.0023310266617743384,0.05822413694126377,0.06440968524896724,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,ece_10bin,0.12899686520543624,0.005145479252575874,0.12499666169618355,0.13742913427659062,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,posterior_l1_from_native,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,budget_ratio,nan,nan,nan,nan,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
product,all_view_merge,top_class_flip_rate,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,ncsAURC,7.936507936507954e-05,0.0,7.936507936507954e-05,7.936507936507954e-05,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,accuracy,0.9800000000000001,0.0,0.9800000000000001,0.9800000000000001,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,macro_f1,0.9799874921826142,0.0,0.9799874921826142,0.9799874921826142,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,nll,0.5330295732310922,0.0033697646658965826,0.5286668791713215,0.5373300824405683,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,brier,0.19162217523472375,0.0015611570544936371,0.18948480166545398,0.19355690261626438,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,ece_10bin,0.36254312878906886,0.0018392697824265807,0.36036548143783825,0.3648698665743466,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,posterior_l1_from_native,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,budget_ratio,nan,nan,nan,nan,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,native,top_class_flip_rate,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,ncsAURC,0.004501311010423023,0.00014253998584519732,0.004330775662438843,0.004704239273089233,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,accuracy,0.9761666666666666,0.0012638125740086577,0.9741666666666665,0.9775,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,macro_f1,0.9760705713542684,0.001290858891512404,0.9740169262633961,0.9774125471590169,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,nll,0.4130044387433508,0.004888683480287339,0.4071685679208656,0.419058667820616,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
