"contrast","left_arm","right_arm","metric","aggregation","bootstrap_mean","ci_low","ci_high","draws","bootstrap_seed","pair_id","point","support_low","support_high"
"provenance_error","registered_copy_m8","false_split_m8","posterior_l1_from_native","worst_donor","0.3080794078373943","0.2999936632202596","0.31662338434221066","2000","20260732","HandWritten-Mfeat__RCML","0.3059207217303744","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","budget_ratio","donor_macro","1.1666666666666665","1.1666666666666665","1.166666666666667","2000","20260732","HandWritten-Mfeat__RCML","1.1666666666666667","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","budget_ratio","worst_donor","2.023424092843339","1.986323998504289","2.06243741407105","2000","20260732","HandWritten-Mfeat__RCML","2.02416258468602","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","top_class_flip_rate","donor_macro","0.018039708333333335","0.011083333333333336","0.026083333333333337","2000","20260732","HandWritten-Mfeat__RCML","0.01791666666666667","0.1","0.9"
"provenance_error","registered_copy_m8","false_split_m8","top_class_flip_rate","worst_donor","0.02871425","0.0175","0.042","2000","20260732","HandWritten-Mfeat__RCML","0.023500000000000004","0.1","0.9"
"coarsening_boundary","native","all_view_merge","ncsAURC","donor_macro","0.018217252485953298","0.009148042380156799","0.028604844477924593","2000","20260732","HandWritten-Mfeat__RCML","0.0182270557832126","0.1","0.9"
"coarsening_boundary","native","all_view_merge","ncsAURC","worst_donor","0.018217252485953298","0.009148042380156797","0.0286048444779246","2000","20260732","HandWritten-Mfeat__RCML","0.018227055783212598","0.1","0.9"
"coarsening_boundary","native","all_view_merge","accuracy","donor_macro","-0.07094075000000001","-0.0935","-0.050000000000000024","2000","20260732","HandWritten-Mfeat__RCML","-0.07050000000000001","0.1","0.9"
"coarsening_boundary","native","all_view_merge","accuracy","worst_donor","-0.07094075000000001","-0.0935","-0.050000000000000024","2000","20260732","HandWritten-Mfeat__RCML","-0.07050000000000001","0.1","0.9"
"coarsening_boundary","native","all_view_merge","macro_f1","donor_macro","-0.07321553798440154","-0.09568317431825865","-0.05160059282780078","2000","20260732","HandWritten-Mfeat__RCML","-0.0725480107970962","0.1","0.9"
"coarsening_boundary","native","all_view_merge","macro_f1","worst_donor","-0.07321553798440154","-0.09568317431825865","-0.05160059282780078","2000","20260732","HandWritten-Mfeat__RCML","-0.0725480107970962","0.1","0.9"
"coarsening_boundary","native","all_view_merge","nll","donor_macro","1.6482323777264198","1.6169123854137697","1.676709871788392","2000","20260732","HandWritten-Mfeat__RCML","1.6483085902846821","0.1","0.9"
"coarsening_boundary","native","all_view_merge","nll","worst_donor","1.6482323777264198","1.6169123854137697","1.676709871788392","2000","20260732","HandWritten-Mfeat__RCML","1.6483085902846821","0.1","0.9"
"coarsening_boundary","native","all_view_merge","brier","donor_macro","0.701854420112279","0.6880119691304812","0.7142085902457503","2000","20260732","HandWritten-Mfeat__RCML","0.701916703984215","0.1","0.9"
"coarsening_boundary","native","all_view_merge","brier","worst_donor","0.701854420112279","0.6880119691304812","0.7142085902457503","2000","20260732","HandWritten-Mfeat__RCML","0.701916703984215","0.1","0.9"
"coarsening_boundary","native","all_view_merge","ece_10bin","donor_macro","0.4878660037992762","0.46105153512512176","0.5141800936057285","2000","20260732","HandWritten-Mfeat__RCML","0.48843654896195343","0.1","0.9"
"coarsening_boundary","native","all_view_merge","ece_10bin","worst_donor","0.4878660037992762","0.46105153512512176","0.5141800936057285","2000","20260732","HandWritten-Mfeat__RCML","0.48843654896195343","0.1","0.9"
"coarsening_boundary","native","all_view_merge","risk_at_0p10","donor_macro","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"coarsening_boundary","native","all_view_merge","risk_at_0p10","worst_donor","0.0","0.0","0.0","2000","20260732","HandWritten-Mfeat__RCML","0.0","0.1","0.9"
"coarsening_boundary","native","all_view_merge","posterior_l1_from_native","donor_macro","1.1370125103420432","1.117116821924359","1.1547769948793651","2000","20260732","HandWritten-Mfeat__RCML","1.1370417256279266","0.1","0.9"
"coarsening_boundary","native","all_view_merge","posterior_l1_from_native","worst_donor","1.1370125103420434","1.117116821924359","1.1547769948793651","2000","20260732","HandWritten-Mfeat__RCML","1.1370417256279266","0.1","0.9"
"coarsening_boundary","native","all_view_merge","budget_ratio","donor_macro","-0.9838897260375229","-0.9854197469251096","-0.9822842073129489","2000","20260732","HandWritten-Mfeat__RCML","-0.9838906658553512","0.1","0.9"
"coarsening_boundary","native","all_view_merge","budget_ratio","worst_donor","-0.9838897260375229","-0.9854197469251096","-0.9822842073129489","2000","20260732","HandWritten-Mfeat__RCML","-0.9838906658553512","0.1","0.9"
"coarsening_boundary","native","all_view_merge","top_class_flip_rate","donor_macro","0.08039275000000001","0.057999999999999996","0.10351249999999994","2000","20260732","HandWritten-Mfeat__RCML","0.07999999999999999","0.1","0.9"
"coarsening_boundary","native","all_view_merge","top_class_flip_rate","worst_donor","0.08039275","0.057999999999999996","0.10351249999999994","2000","20260732","HandWritten-Mfeat__RCML","0.08","0.1","0.9"
