setting_id,language_pmax,dirichlet_kappa,quality_multiplier,conflict_multiplier,occlusion_strength,records,dirichlet_projection_fallbacks,nested_naurc,pooling_naurc,pact_naurc,pact_minus_nested_naurc,pact_minus_pooling_naurc,nested_coverage,pooling_coverage,pact_coverage,nested_wrong_all,pooling_wrong_all,pact_wrong_all,nested_wrong_admitted,pooling_wrong_admitted,pact_wrong_admitted,nested_correct_all,pooling_correct_all,pact_correct_all,nested_clean_coverage,pooling_clean_coverage,pact_clean_coverage
141,0.85,100.0,1.0389632750302553,0.8193194799125195,1.0,31200,0,0.11679247105663455,0.2083390944317875,0.06710435793348153,-0.04968811312315302,-0.14123473649830598,0.13131410256410256,0.13099358974358974,0.13118589743589743,9.615384615384615e-05,0.010608974358974359,0.0,0.000732243104710764,0.08098850012233913,0.0,0.13121794871794873,0.12038461538461538,0.13118589743589743,0.8720833333333333,0.7708333333333334,0.86875
142,0.95,200.0,0.9486642174422741,1.1769468802958727,0.5,31200,0,0.11227972864316607,0.19270785726104478,0.06626349847645782,-0.04601623016670825,-0.12644435878458696,0.13096153846153846,0.13080128205128205,0.13099358974358974,0.0,0.010576923076923078,0.0,0.0,0.08086253369272237,0.0,0.13096153846153846,0.12022435897435897,0.13099358974358974,0.8920833333333333,0.7570833333333333,0.8795833333333334
143,0.75,50.0,1.1368194449692965,0.9487952671945096,1.5,31200,0,0.15335666000766726,0.2568239344790457,0.066908024250507,-0.08644863575716026,-0.1899159102285387,0.13141025641025642,0.13121794871794873,0.13115384615384615,0.00625,0.016314102564102564,0.0,0.0475609756097561,0.12432828529555447,0.0,0.1251602564102564,0.11490384615384615,0.13115384615384615,0.8066666666666666,0.7145833333333333,0.8291666666666667
144,0.75,200.0,0.8723929055035115,1.0451379407197239,0.5,31200,0,0.11581447660632448,0.20654445428158794,0.06649318244383658,-0.0493212941624879,-0.14005127183775135,0.13083333333333333,0.13099358974358974,0.1310897435897436,0.0002884615384615385,0.011185897435897436,0.0,0.002204801567858893,0.08539270858820651,0.0,0.1305448717948718,0.11980769230769231,0.1310897435897436,0.8929166666666667,0.72875,0.8808333333333334
145,0.95,50.0,1.06075136102736,0.8795349530875683,1.5,31200,0,0.11429432116288585,0.2068103110248395,0.06799682684053925,-0.0462974943223466,-0.13881348418430023,0.1308653846153846,0.13112179487179487,0.13125,0.0,0.010352564102564103,0.0,0.0,0.07895380102664386,0.0,0.1308653846153846,0.12076923076923077,0.13125,0.8245833333333333,0.7654166666666666,0.84125
146,0.85,200.0,0.9518256135284902,1.124247505143285,1.5,31200,0,0.10800314568358341,0.18823040232352803,0.06663638695508069,-0.04136675872850272,-0.12159401536844734,0.13105769230769232,0.13099358974358974,0.13128205128205128,0.0,0.010608974358974359,0.0,0.0,0.08098850012233913,0.0,0.13105769230769232,0.12038461538461538,0.13128205128205128,0.79125,0.7770833333333333,0.8141666666666667
147,0.75,100.0,1.1650284174829721,0.9523487530648709,0.5,31200,0,0.13766694768297574,0.23590629172727168,0.06693934472576783,-0.07072760295720791,-0.16896694700150383,0.13125,0.13125,0.13099358974358974,0.002564102564102564,0.01564102564102564,0.0,0.019536019536019536,0.11916971916971918,0.0,0.12868589743589742,0.11560897435897435,0.13099358974358974,0.9029166666666667,0.6979166666666666,0.89
148,0.65,200.0,1.0308693680912258,0.9201169595122338,0.5,31200,0,0.15157065486767013,0.24694586326818804,0.06658522528588251,-0.08498542958178762,-0.18036063798230553,0.13125,0.13131410256410256,0.13099358974358974,0.005833333333333334,0.018557692307692306,0.0,0.044444444444444446,0.14132291920917744,0.0,0.12541666666666668,0.11275641025641026,0.13099358974358974,0.9041666666666667,0.6616666666666666,0.88625
149,0.9,50.0,0.8429014541208745,1.1544651445001364,1.5,31200,0,0.11504692455798265,0.20470970586659507,0.06715550393556398,-0.047891420622418676,-0.13755420193103107,0.13102564102564102,0.13131410256410256,0.13121794871794873,0.0004487179487179487,0.010576923076923078,0.0,0.003424657534246575,0.08054674151818404,0.0,0.1305769230769231,0.12073717948717949,0.13121794871794873,0.7966666666666666,0.7770833333333333,0.8220833333333334
150,0.9,100.0,1.144912013784051,0.8495614543557167,1.0,31200,0,0.11777136159819923,0.20480213275646855,0.06741474485787406,-0.05035661674032517,-0.1373873878985945,0.13125,0.13083333333333333,0.13083333333333333,0.0001923076923076923,0.010480769230769231,0.0,0.0014652014652014652,0.0801077902988731,0.0,0.13105769230769232,0.1203525641025641,0.13083333333333333,0.8654166666666666,0.75125,0.8675
151,0.85,50.0,0.9313184775412083,1.0777115311473608,1.0,31200,0,0.12284732693636773,0.21495420702436754,0.06757857403431383,-0.055268752902053894,-0.1473756329900537,0.13115384615384615,0.13128205128205128,0.13115384615384615,0.0007051282051282052,0.010801282051282052,0.0,0.005376344086021506,0.082275390625,0.0,0.13044871794871796,0.12048076923076922,0.13115384615384615,0.84625,0.7616666666666667,0.8616666666666667
152,0.85,200.0,1.1098517876118423,1.1974360674619675,1.5,31200,0,0.1116519885581443,0.19833909782384787,0.06632327667448903,-0.04532871188365527,-0.13201582114935884,0.13131410256410256,0.13118589743589743,0.13118589743589743,3.205128205128205e-05,0.010608974358974359,0.0,0.000244081034903588,0.0808697776691913,0.0,0.13128205128205128,0.12057692307692308,0.13118589743589743,0.7795833333333333,0.7745833333333333,0.7870833333333334
153,0.95,100.0,0.9234086900949479,0.9255831521004438,1.0,31200,0,0.11344807845718427,0.19559273735966007,0.06676462706398911,-0.04668345139319516,-0.12882811029567096,0.1308974358974359,0.13099358974358974,0.13105769230769232,6.41025641025641e-05,0.010512820512820513,0.0,0.0004897159647404506,0.0802544653780279,0.0,0.13083333333333333,0.12048076923076922,0.13105769230769232,0.8579166666666667,0.76125,0.85625
154,0.9,100.0,1.0143668334931135,1.0706801533699037,0.5,31200,0,0.11443509137074805,0.19716829250431586,0.06651224480707688,-0.04792284656367117,-0.130656047697239,0.1319551282051282,0.13115384615384615,0.1310897435897436,0.0,0.010608974358974359,0.0,0.0,0.08088954056695992,0.0,0.1319551282051282,0.12054487179487179,0.1310897435897436,0.89375,0.75125,0.8808333333333334
155,0.65,50.0,0.8023713797330857,0.8050314735621215,1.5,31200,0,0.17909489944442178,0.26418924272484323,0.06756810964442125,-0.11152678980000053,-0.19662113308042198,0.13102564102564102,0.13115384615384615,0.13121794871794873,0.011282051282051283,0.017916666666666668,0.0,0.08610567514677103,0.1366080156402737,0.0,0.11974358974358974,0.11323717948717948,0.13121794871794873,0.825,0.6708333333333333,0.8416666666666667
156,0.65,100.0,0.9935265600681306,0.8725066397339106,1.5,31200,0,0.160381003068973,0.2545344779197324,0.06677718017590652,-0.09360382289306647,-0.18775729774382588,0.13128205128205128,0.13121794871794873,0.1310897435897436,0.007275641025641026,0.016826923076923076,0.0,0.055419921875,0.12823644357596484,0.0,0.12400641025641025,0.11439102564102564,0.1310897435897436,0.8195833333333333,0.6895833333333333,0.8304166666666667
157,0.9,50.0,1.1803603660315276,1.000604895502329,0.5,31200,0,0.1224759579838286,0.21404029850521314,0.06721294430149348,-0.05526301368233512,-0.14682735420371967,0.13102564102564102,0.13115384615384615,0.13096153846153846,0.00022435897435897436,0.011153846153846153,0.0,0.0017123287671232876,0.08504398826979472,0.0,0.13080128205128205,0.12,0.13096153846153846,0.8941666666666667,0.7558333333333334,0.8858333333333334
158,0.95,200.0,0.8822549104690552,0.9953166130930186,1.0,31200,0,0.10897934261450803,0.18644076980677382,0.0663098503770566,-0.04266949223745144,-0.12013091942971722,0.13137820512820514,0.13096153846153846,0.13080128205128205,3.205128205128205e-05,0.010576923076923078,0.0,0.00024396194193705782,0.08076358296622614,0.0,0.13134615384615383,0.12038461538461538,0.13080128205128205,0.8570833333333333,0.75875,0.85
