pairing,is_registered,accuracy,negative_log_likelihood,unnormalized_multiclass_brier,adaptive_ece_10,ncsAURC,mean_evidence_budget,mean_budget_ratio_to_registered,mean_posterior_l1_drift
qwen3vl_8b+qwen3vl_32b;internvl3_2b+smolvlm2_0_5b;internvl3_8b+llava_onevision_7b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5939315967182793,0.40180119676837167,0.30494628090799397,0.165094420604471,6.836748779097545,0.9775858907183419,0.002499805217009806
qwen3vl_8b+qwen3vl_32b;internvl3_2b+smolvlm2_0_5b;internvl3_8b+smolvlm2_2_2b;llava_onevision_0_5b+llava_onevision_7b,False,0.8661347517730497,0.5934054059591861,0.4013091890566879,0.30458323348950217,0.16505302156136872,6.7863669753293605,0.9697630388907071,0.0047087596491090546
qwen3vl_8b+qwen3vl_32b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+llava_onevision_0_5b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5922914769390849,0.4002288670388183,0.3038866420071543,0.1651872817521013,6.702150032110573,0.95763951179549,0.0045990998192945035
qwen3vl_8b+qwen3vl_32b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+llava_onevision_7b;llava_onevision_0_5b+smolvlm2_0_5b,False,0.8661347517730497,0.5939025665588615,0.4017730139884169,0.3049265863251633,0.16508399684599614,6.833486702382867,0.9771254386568335,0.0024993713215562883
qwen3vl_8b+qwen3vl_32b;internvl3_2b+smolvlm2_2_2b;internvl3_8b+smolvlm2_0_5b;llava_onevision_0_5b+llava_onevision_7b,False,0.8661347517730497,0.5927982171150544,0.4007194821116909,0.3042025628254445,0.1649759000025667,6.738829409110681,0.9629371484403315,0.003947418320993813
qwen3vl_8b+internvl3_2b;qwen3vl_32b+internvl3_8b;llava_onevision_0_5b+llava_onevision_7b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5864644286842252,0.3945029186675986,0.2991479936439227,0.16440532815098755,5.885258387699907,0.8495554684549673,0.014511930966864508
qwen3vl_8b+internvl3_2b;qwen3vl_32b+internvl3_8b;llava_onevision_0_5b+smolvlm2_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5854161579968522,0.39349393531934296,0.29844168930441967,0.16439324548037795,5.8100636341914615,0.8386291701389841,0.0157413879012459
qwen3vl_8b+internvl3_2b;qwen3vl_32b+internvl3_8b;llava_onevision_0_5b+smolvlm2_2_2b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5854505867095114,0.39352739090057476,0.29846584667882625,0.1644435518369785,5.81332571090614,0.8390896222004925,0.01572306510527496
qwen3vl_8b+internvl3_2b;qwen3vl_32b+llava_onevision_0_5b;internvl3_8b+llava_onevision_7b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5821814687513093,0.3904512986450182,0.2965374349377953,0.16456784376319564,5.746579138499393,0.8290999695156953,0.019350064644490333
qwen3vl_8b+internvl3_2b;qwen3vl_32b+llava_onevision_0_5b;internvl3_8b+smolvlm2_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5800752030876207,0.3884286714223177,0.2951196007612905,0.16454579980065603,5.576727091718762,0.8039853809832102,0.022143512123975185
qwen3vl_8b+internvl3_2b;qwen3vl_32b+llava_onevision_0_5b;internvl3_8b+smolvlm2_2_2b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5809677693895757,0.38928122278405125,0.2956975143127361,0.16452356610235588,5.624264657937441,0.8108112714335859,0.021281165510496747
qwen3vl_8b+internvl3_2b;qwen3vl_32b+llava_onevision_7b;internvl3_8b+llava_onevision_0_5b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.58226100458273,0.3905200848719052,0.2965034790988752,0.16435106216531126,5.704648708718583,0.8241628485584005,0.020438414031967615
qwen3vl_8b+internvl3_2b;qwen3vl_32b+llava_onevision_7b;internvl3_8b+smolvlm2_0_5b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5818665286125796,0.3901400328981406,0.29621618718058906,0.16441355070167518,5.669395408924924,0.8189946389487669,0.02094261532875216
qwen3vl_8b+internvl3_2b;qwen3vl_32b+llava_onevision_7b;internvl3_8b+smolvlm2_2_2b;llava_onevision_0_5b+smolvlm2_0_5b,False,0.8661347517730497,0.5827155357648723,0.3909506416830534,0.2967639380541825,0.1644078732159467,5.713670898428924,0.8253600773376343,0.02012646387364339
